kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops
Convolution2D_kernel,64,1,32,1,32,0.0129,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,2,16,1,32,0.0117,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,4,8,1,32,0.0121,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,8,4,1,32,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,2,1,32,0.0113,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,1,1,32,0.0117,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,1,64,1,64,0.0128,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,2,32,1,64,0.0118,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,4,16,1,64,0.0046,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,8,8,1,64,0.0118,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,4,1,64,0.0113,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,2,1,64,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,64,1,1,64,0.012,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,2,64,1,128,0.0129,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,4,32,1,128,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,8,16,1,128,0.0115,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,8,1,128,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,4,1,128,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,64,2,1,128,0.0117,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,4,64,1,256,0.0118,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,8,32,1,256,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,16,1,256,0.011,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,8,1,256,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,64,4,1,256,0.0118,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,8,64,1,512,0.0124,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,32,1,512,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,16,1,512,0.0123,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,64,8,1,512,0.0116,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,16,64,1,1024,0.0115,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,32,32,1,1024,0.0113,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,64,64,16,1,1024,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,1,32,1,32,0.0151,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,2,16,1,32,0.0134,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,8,1,32,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,4,1,32,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,2,1,32,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,1,1,32,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,1,64,1,64,0.0158,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,2,32,1,64,0.0133,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,16,1,64,0.0126,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,8,1,64,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,4,1,64,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,2,1,64,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,1,1,64,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,1,128,1,128,0.0149,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,2,64,1,128,0.0126,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,32,1,128,0.0113,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,16,1,128,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,8,1,128,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,4,1,128,0.0106,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,2,1,128,0.0111,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,128,1,1,128,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,2,128,1,256,0.0126,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,64,1,256,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,32,1,256,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,16,1,256,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,8,1,256,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,4,1,256,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
