kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops,speedup_vs_avg,speedup_vs_worst,configs_tested,worst_exec_time,avg_exec_time
Convolution2D_kernel,32,16,8,1,128,0.0125,tesla_c2075,2,8.3,0,9,1,83,10,1.108952380952381,1.464,21,0.0183,0.013861904761904761
Convolution2D_kernel,64,4,16,1,64,0.0046,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10,2.6395511921458628,5.891304347826087,62,0.0271,0.012141935483870969
Convolution2D_kernel,128,32,4,1,128,0.0091,tesla_c2075,2,8.3,0,9,1,83,10,1.6517328825021136,6.978021978021978,78,0.0635,0.015030769230769235
Convolution2D_kernel,256,64,1,1,64,0.0093,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10,4.014695340501793,23.741935483870968,90,0.2208,0.03733666666666667
Convolution2D_kernel,512,32,4,1,128,0.0139,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10,9.239465570400823,60.143884892086334,98,0.836,0.12842857142857142
Convolution2D_kernel,1024,64,1,1,64,0.042,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10,12.464646464646465,96.72857142857141,99,4.0626,0.5235151515151516
Convolution2D_kernel,2048,32,4,1,128,0.1573,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10,2.321744543335453,8.384615384615385,48,1.3189,0.3652104166666667
atax_kernel1,32,1,32,1,32,0.0154,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,1.9128014842300556,10.525974025974024,42,0.1621,0.029457142857142855
atax_kernel1,64,8,16,1,128,0.0198,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,2.728494623655914,15.828282828282827,62,0.3134,0.054024193548387105
atax_kernel1,128,2,16,1,32,0.0286,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,3.935628474090012,21.45804195804196,78,0.6137,0.11255897435897434
atax_kernel1,256,2,16,1,32,0.0467,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,6.410540090411611,28.670235546038544,90,1.3389,0.2993722222222222
atax_kernel1,512,8,4,1,32,0.0852,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.024773641851105,106.65375586854461,84,9.0869,0.9393107142857142
atax_kernel1,1024,8,4,1,32,0.1772,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,6.419795738589439,55.739841986455986,41,9.8771,1.1375878048780486
atax_kernel1,2048,16,2,1,32,0.374,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.19237641841659,113.80267379679144,41,42.5622,4.185948780487805
atax_kernel2,32,8,16,1,128,0.0078,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,1.465811965811966,2.1923076923076925,42,0.0171,0.011433333333333334
atax_kernel2,64,32,4,1,128,0.0121,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,1.6254332178085849,2.892561983471075,62,0.035,0.019667741935483877
atax_kernel2,128,64,2,1,128,0.021,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,2.0650793650793653,6.533333333333332,78,0.1372,0.04336666666666668
atax_kernel2,256,8,4,1,32,0.0389,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,3.646015424164524,26.573264781491005,90,1.0337,0.14182999999999998
atax_kernel2,512,32,2,1,64,0.0727,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,10.045785026527806,118.99037138927099,84,8.6506,0.7303285714285715
atax_kernel2,1024,64,1,1,64,0.2469,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,4.246470872971184,37.89509923045767,41,9.3563,1.0484536585365853
atax_kernel2,2048,64,1,1,64,0.4936,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,7.709995256354509,81.67929497568882,41,40.3169,3.8056536585365857
bicg_kernel1,32,8,4,1,32,0.0213,tesla_c2075,1,2.0,0,3,1,8,4,1.050972501676727,1.1737089201877935,21,0.025,0.022385714285714287
bicg_kernel1,64,64,4,1,256,0.0193,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,1.4244526157446096,2.2072538860103625,62,0.0426,0.027491935483870966
bicg_kernel1,128,8,8,1,64,0.0283,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,1.879360333423938,5.07773851590106,78,0.1437,0.05318589743589744
bicg_kernel1,256,256,1,1,256,0.0392,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,4.427295918367347,28.275510204081634,90,1.1084,0.17354999999999998
bicg_kernel1,512,16,2,1,32,0.0805,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,8.58116169544741,103.66459627329193,91,8.345,0.6907835164835164
bicg_kernel1,1024,128,1,1,128,0.2533,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,4.175401368601131,36.603237268061584,48,9.2716,1.0576291666666666
bicg_kernel1,2048,64,1,1,64,0.5031,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,7.3979286755449545,74.10574438481416,48,37.2826,3.7218979166666664
bicg_kernel2,32,1,32,1,32,0.0134,tesla_c2075,1,2.0,0,3,1,8,4,2.5998578535891967,11.507462686567164,21,0.1542,0.03483809523809524
bicg_kernel2,64,2,32,1,64,0.0129,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,3.624406101525381,23.5968992248062,62,0.3044,0.046754838709677414
bicg_kernel2,128,2,16,1,32,0.022,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,4.878787878787879,27.5,78,0.605,0.10733333333333334
bicg_kernel2,256,2,16,1,32,0.0397,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,7.26943744752309,33.3904282115869,90,1.3256,0.28859666666666667
bicg_kernel2,512,8,4,1,32,0.0772,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.673745943175993,120.90673575129533,91,9.334,0.9012131868131867
bicg_kernel2,1024,8,4,1,32,0.1699,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,6.966904551697076,55.82107121836375,48,9.484,1.1836770833333332
bicg_kernel2,2048,16,2,1,32,0.3625,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.997218390804598,106.42344827586207,48,38.5785,4.348991666666667
convolution3D_kernel,32,32,2,1,64,0.0934,tesla_c2075,2,11.6875,0,15,1,187,16,1.3110023452635873,2.638115631691649,21,0.2464,0.12244761904761906
convolution3D_kernel,64,64,2,1,128,0.1003,geforce_gtx_1080_ti,2,11.6875,0,15,1,187,16,2.3304495116800132,13.029910269192422,93,1.3069,0.23374408602150532
convolution3D_kernel,128,32,4,1,128,0.2824,geforce_gtx_1080_ti,2,11.6875,0,15,1,187,16,3.770172029732937,30.468484419263458,117,8.6043,1.0646965811965814
